filename,cluster,title
2401.03350v2.txt,5,"Accurate and Scalable Estimation of Epistemic Uncertainty for Graph   Neural Networks"
2401.04305v3.txt,1,"Advancing Deep Active Learning & Data Subset Selection: Unifying   Principles with Information-Theory Intuitions"
2401.12418v1.txt,1,"Towards Improved Variational Inference for Deep Bayesian Models"
2401.17441v1.txt,4,"Explaining Predictive Uncertainty by Exposing Second-Order Effects"
2402.00060v2.txt,4,"Treatment of Epistemic Uncertainty in Conjunction Analysis with   Dempster-Shafer Theory"
2402.00809v5.txt,1,"Position: Bayesian Deep Learning is Needed in the Age of Large-Scale AI"
2402.01098v1.txt,1,"Bayesian Deep Learning for Remaining Useful Life Estimation via Stein   Variational Gradient Descent"
2402.01694v1.txt,6,"ARGS: Alignment as Reward-Guided Search"
2402.03478v2.txt,3,"Estimating Epistemic and Aleatoric Uncertainty with a Single Model"
2402.04344v3.txt,4,"Does confidence calibration improve conformal prediction?"
2402.04655v4.txt,6,"Open-Vocabulary Calibration for Fine-tuned CLIP"
2402.06173v3.txt,1,"Comparison of parallel SMC and MCMC for Bayesian deep learning"
2402.06580v2.txt,6,"SAE: Single Architecture Ensemble Neural Networks"
2402.07366v2.txt,1,"Bayesian Deep Learning Via Expectation Maximization and Turbo Deep   Approximate Message Passing"
2402.07632v4.txt,6,"Understanding the Effects of Miscalibrated AI Confidence on User Trust,   Reliance, and Decision Efficacy"
2402.08733v2.txt,4,"Experts Don't Cheat: Learning What You Don't Know By Predicting Pairs"
2402.09056v3.txt,0,"Is Epistemic Uncertainty Faithfully Represented by Evidential Deep   Learning Methods?"
2402.10727v3.txt,4,"From Risk to Uncertainty: Generating Predictive Uncertainty Measures via   Bayesian Estimation"
2402.13945v1.txt,3,"Probabilistic Neural Networks (PNNs) for Modeling Aleatoric Uncertainty   in Scientific Machine Learning"
2402.14759v1.txt,4,"Generalising realisability in statistical learning theory under   epistemic uncertainty"
2402.17655v2.txt,6,"Confidence-Aware Multi-Field Model Calibration"
2403.01537v6.txt,6,"Mixed Strategy Nash Equilibrium for Crowd Navigation"
2403.02886v1.txt,0,"Revisiting Confidence Estimation: Towards Reliable Failure Prediction"
2403.03812v1.txt,4,"ProbSAINT: Probabilistic Tabular Regression for Used Car Pricing"
2403.10671v2.txt,1,"Variation Due to Regularization Tractably Recovers Bayesian Deep   Learning"
2403.12559v2.txt,6,"Confidence Self-Calibration for Multi-Label Class-Incremental Learning"
2403.16594v1.txt,0,"EDUE: Expert Disagreement-Guided One-Pass Uncertainty Estimation for   Medical Image Segmentation"
2403.19083v1.txt,1,"Improving Cancer Imaging Diagnosis with Bayesian Networks and Deep   Learning: A Bayesian Deep Learning Approach"
2404.00474v2.txt,2,"Linguistic Calibration of Long-Form Generations"
2404.01863v1.txt,6,"Confidence-aware Reward Optimization for Fine-tuning Text-to-Image   Models"
2404.06124v3.txt,0,"Hierarchical Insights: Exploiting Structural Similarities for Reliable   3D Semantic Segmentation"
2404.10124v1.txt,3,"Epistemic Uncertainty Quantification For Pre-trained Neural Network"
2404.11947v2.txt,0,"VCC-INFUSE: Towards Accurate and Efficient Selection of Unlabeled   Examples in Semi-supervised Learning"
2404.12215v2.txt,4,"Quantifying Aleatoric and Epistemic Uncertainty with Proper Scoring   Rules"
2404.16496v2.txt,7,"Probabilistic Multi-Layer Perceptrons for Wind Farm Condition Monitoring"
2405.01304v1.txt,1,"Misclassification bounds for PAC-Bayesian sparse deep learning"
